AnnualSales,Inventory,AdvertizeCost,NumFamilies
231,294,8.199999809,8.199999809
156,232,6.900000095,4.099999905
10,149,3,4.300000191
519,600,12,16.10000038
437,567,10.60000038,14.10000038
487,571,11.80000019,12.69999981
299,512,8.1,10.10000038
195,347,7.699999809,8.4
20,212,3.299999952,2.099999905
68,102,4.900000095,4.699999809
570,788,17.39999962,12.30000019
428,577,10.5,14
464,535,11.30000019,15
15,163,2.5,2.5
65,168,4.699999809,3.299999952
98,151,4.599999905,2.700000048
398,342,5.5,16
161,196,7.199999809,6.300000191
397,453,10.39999962,13.89999962
497,518,11.5,16.29999924
528,615,12.30000019,16
99,278,2.799999952,6.5
0.5,142,3.099999905,1.600000024
347,461,9.6,11.30000019
341,382,9.800000191,11.5
507,590,12,15.69999981
400,517,7,12
